,Name,Affiliation,Duty,Shift
1,Nicole Smith,DFO-OSASS,"Water sampling, filtration",Day
2,Kristen Wilson,DFO-OMOS,"Water sampling, filtration",Night
3,Melanie Hardy,DFO-OMOS,CTD acquisition computer,Day
4,Chris Gordon,DFO-OMOS,CTD acquisition computer/Night shift captain,Night
5,Lindsay Beazley,DFO-OMOS,"Chief scientist, ring net operator",Day
6,Rebecca Milne,DFO-OMOS,Ring net operator,Night
7,Diana Cardoso,DFO-OESD,Data manager,Night
8,Adam Hartling,DFO-OETS,"CTD operations, SUNA sensor",Night
9,Chris Beck,DFO-OETS,"CTD operations, SUNA sensor",Day
10,Jacob Comeau-Ouellette,Environment and Climate Change Canada,Seabird Observer,Day
11,Anna Gleason,Dalhousie University,"Water sampling, filtration",Day
12,Sofia Dragoti,Dalhousie University,"Water sampling, filtration",Night
13,Jasper Meagher,University of Rhode Island,"Water sampling, lab support",Day
